"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.35,"5",4,5e-04,"S","DefaultResearchStrategy","TTest","0",0.0036,5,1.1563870906,0.8063870906,0.196099362,"Small","drop"
0.95,"50",1,5e-04,"M","DefaultResearchStrategy","TTest","0",0.876,50,0.9606564634,0.0106564633999999,0.0009045214,"Large","drop"
0.25,"50",2,0.05,"M","DefaultResearchStrategy","TTest","1",0.5786,54.534,0.3788349544,0.1288349544,0.123008143,"Large","drop"
0.5,"25",5,0.005,"S","DefaultResearchStrategy","TTest","1",0.5024,31.3128,0.7058086406,0.2058086406,0.0406228032,"Large","drop"
0.55,"50",4,5e-04,"M","DefaultResearchStrategy","TTest","1",0.6178,55.1116,0.6914396104,0.1414396104,0.005913286,"Large","drop"
0.5,"5",2,0.005,"S","DefaultResearchStrategy","TTest","1",0.383,13.1646,1.177633665,0.677633665,0.0367823694,"Small","drop"
0.2,"100",3,0.05,"L","DefaultResearchStrategy","TTest","0",0.302139572085583,100,0.203120054189162,0.00312005418916217,0.263788980203959,"Large","drop"
0.35,"20",3,5e-04,"L","DefaultResearchStrategy","TTest","1",0.2222,27.5656,0.831263959,0.481263959,0.0162866506,"Small","drop"
0.65,"5",2,5e-04,"S","DefaultResearchStrategy","TTest","0",0.007,5,1.1390834412,0.4890834412,0.2262384134,"Small","drop"
0.65,"5",4,0.05,"S","DefaultResearchStrategy","TTest","1",0.992,11.441,1.3314777962,0.6814777962,0.0203115918,"Small","drop"
0.75,"10",4,0.005,"M","DefaultResearchStrategy","TTest","1",0.9718,17.0058,1.2887486042,0.5387486042,0.0021012996,"Small","drop"
0.35,"20",1,5e-04,"L","DefaultResearchStrategy","TTest","1",0.085,27.2092,0.6049738814,0.2549738814,0.116688546,"Small","drop"
